arch_id,constellation_type,num_satellites,num_planes,sat_ids,num_stations,gs_ids,exec_time[s],objective_1,objective_2,objective_3,objective_4
arch-0,DELTA_HOMOGENEOUS DELTA_HOMOGENEOUS DELTA_HETEROGENEOUS TRAIN,11,3,sat-0 sat-1 sat-2 sat-3 sat-4 sat-5 sat-6 sat-7 sat-8 sat-9 sat-10,1,gs-0,0.0178018,0.0,0.0,0.0,-0.0
arch-1,DELTA_HOMOGENEOUS DELTA_HOMOGENEOUS DELTA_HETEROGENEOUS TRAIN,12,6,sat-0 sat-1 sat-2 sat-3 sat-4 sat-5 sat-6 sat-7 sat-8 sat-9 sat-10 sat-11,1,gs-0,0.013974,0.0,0.0,0.0,-0.0
arch-2,DELTA_HOMOGENEOUS DELTA_HOMOGENEOUS DELTA_HETEROGENEOUS TRAIN,9,3,sat-0 sat-1 sat-2 sat-3 sat-4 sat-5 sat-6 sat-7 sat-8,1,gs-0,0.0127957,0.0,0.0,0.0,-0.0
arch-3,DELTA_HOMOGENEOUS DELTA_HOMOGENEOUS DELTA_HETEROGENEOUS TRAIN,12,5,sat-0 sat-1 sat-2 sat-3 sat-4 sat-5 sat-6 sat-7 sat-8 sat-9 sat-10 sat-11,1,gs-0,0.0132765,0.0,0.0,0.0,-0.0
