arch_id,constellation_type,num_satellites,num_planes,sat_ids,num_stations,gs_ids,exec_time[s]
arch-0,DELTA_HOMOGENEOUS,1,1,sat-0,1,gs-0,0.4514911
arch-1,DELTA_HOMOGENEOUS,2,1,sat-0 sat-1,1,gs-0,0.4382956
