arch_id,constellation_type,num_satellites,num_planes,sat_ids,num_stations,gs_ids,exec_time[s]
arch-0,DELTA_HOMOGENEOUS,1,1,sat-0,1,gs-0,0.4376284
arch-1,DELTA_HOMOGENEOUS,2,1,sat-0 sat-1,1,gs-0,0.464786
arch-2,DELTA_HOMOGENEOUS,2,2,sat-0 sat-1,1,gs-0,0.4586305
arch-3,DELTA_HOMOGENEOUS,2,2,sat-0 sat-1,1,gs-0,0.4250043
