Time[s],Ecc[deg],Inc[deg],SMA[km],AOP[deg],RAAN[deg],MA[deg],Lat[deg],Lon[deg],Alt[km],x[km],y[km],z[km],vx[km/s],vy[km/s],vz[km/s]
1019,4.92297e-16,98.7089,7203.14,0,0.0116357,60.2846,59.2963,101.845,840.781,3570.73,-946.512,6183.79,-6.46055,-0.559638,3.64488
1079,2.03682e-16,98.7089,7203.14,0,0.0123201,63.8307,62.6559,99.3267,841.849,3176.97,-978.18,6390.25,-6.67626,-0.498186,3.2429
1139,6.78938e-17,98.7089,7203.14,0,0.0130046,67.3769,65.9676,96.2345,842.818,2771.04,-1006.11,6572.24,-6.8664,-0.434831,2.82851
1199,2.37628e-16,98.7089,7203.14,0,0.013689,70.9231,69.2097,92.3072,843.676,2354.5,-1030.2,6729.06,-7.03026,-0.369816,2.40328
1259,1.32814e-16,98.7089,7203.14,0,0.0143735,74.4692,72.3451,87.1188,844.407,1928.95,-1050.35,6860.11,-7.16719,-0.303387,1.96884
1319,3.39469e-17,98.7089,7203.14,0,0.0150579,78.0154,75.3064,79.9526,845.002,1496.01,-1066.5,6964.9,-7.27668,-0.2358,1.52687
1379,1.69735e-17,98.7089,7203.14,0,0.0157424,81.5615,77.9656,69.6174,845.451,1057.34,-1078.56,7043.01,-7.35831,-0.167312,1.07905
1439,3.38582e-16,98.7089,7203.14,0,0.0164268,85.1077,80.0781,54.4322,845.748,614.622,-1086.51,7094.15,-7.41176,-0.0981849,0.627101
1499,4.45553e-16,98.7089,7203.14,0,0.0171113,88.6538,81.2397,33.5244,845.888,169.551,-1090.31,7118.12,-7.43683,-0.0286827,0.172748
1559,3.38582e-16,98.7089,7203.14,0,0.0177957,92.2,81.0718,10.2163,845.869,-276.17,-1089.94,7114.84,-7.43342,0.0409289,-0.282266
1619,4.24336e-16,98.7089,7203.14,0,0.0184802,95.7461,79.6387,350.595,845.691,-720.833,-1085.41,7084.31,-7.40154,0.110384,-0.736199
1679,4.4131e-16,98.7089,7203.14,0,0.0191646,99.2923,77.3635,336.734,845.357,-1162.74,-1076.74,7026.66,-7.34133,0.179418,-1.18731
1739,3.004e-16,98.7089,7203.14,0,0.0198491,102.838,74.6148,327.302,844.872,-1600.19,-1063.95,6942.09,-7.25301,0.247767,-1.63388
1799,3.4988e-16,98.7089,7203.14,0,0.0205335,106.385,71.6029,320.7,844.243,-2031.51,-1047.1,6830.94,-7.13691,0.315169,-2.07419
1859,2.40777e-16,98.7089,7203.14,0,0.021218,109.931,68.4372,315.867,843.48,-2455.05,-1026.25,6693.64,-6.99348,0.381367,-2.50656
1919,1.45247e-16,98.7089,7203.14,0,0.0219024,113.477,65.1756,312.172,842.595,-2869.2,-1001.47,6530.7,-6.82327,0.446109,-2.92933
1979,0,98.7089,7203.14,0,0.0225869,117.023,61.8508,309.237,841.6,-3272.35,-972.877,6342.75,-6.62694,0.509146,-3.34088
2039,1.45247e-16,98.7089,7203.14,0,0.0232713,120.569,58.482,306.83,840.511,-3662.98,-940.564,6130.51,-6.40523,0.570239,-3.73964
2099,6.78938e-17,98.7089,7203.14,0,0.0239558,124.115,55.0812,304.802,839.345,-4039.58,-904.659,5894.8,-6.15899,0.629154,-4.12408
2159,5.58122e-16,98.7089,7203.14,0,0.0246402,127.661,51.6563,303.052,838.119,-4400.71,-865.298,5636.51,-5.88917,0.685666,-4.49272
2219,4.07363e-16,98.7089,7203.14,0,0.0253247,131.208,48.2126,301.513,836.852,-4744.99,-822.631,5356.64,-5.5968,0.739559,-4.84416
2279,4.07363e-16,98.7089,7203.14,0,0.0260091,134.754,44.7538,300.136,835.563,-5071.1,-776.823,5056.25,-5.283,0.790627,-5.17705
2339,4.81553e-16,98.7089,7203.14,0,0.0266936,138.3,41.2828,298.886,834.272,-5377.8,-728.047,4736.5,-4.94897,0.838675,-5.49012
2399,6.2439e-16,98.7089,7203.14,0,0.027378,141.846,37.8014,297.736,832.999,-5663.9,-676.491,4398.62,-4.59599,0.88352,-5.78216
2459,4.2712e-16,98.7089,7203.14,0,0.0280625,145.392,34.3114,296.667,831.763,-5928.31,-622.35,4043.89,-4.22541,0.924989,-6.05206
2519,6.78938e-17,98.7089,7203.14,0,0.0287469,148.938,30.8141,295.663,830.583,-6170.02,-565.833,3673.68,-3.83865,0.962926,-6.29878
2579,5.58122e-16,98.7089,7203.14,0,0.0294314,152.485,27.3104,294.712,829.478,-6388.11,-507.154,3289.39,-3.43719,0.997185,-6.52138
2639,9.50514e-16,98.7089,7203.14,0,0.0301158,156.031,23.8014,293.804,828.464,-6581.73,-446.537,2892.51,-3.02257,1.02764,-6.71901
2699,0,98.7089,7203.14,0,0.0308003,159.577,20.2878,292.929,827.557,-6750.15,-384.216,2484.56,-2.59637,1.05416,-6.89091
2759,1.45247e-16,98.7089,7203.14,0,0.0314847,163.123,16.7705,292.083,826.772,-6892.73,-320.426,2067.09,-2.16023,1.07666,-7.03642
2819,1.32814e-16,98.7089,7203.14,0,0.0321692,166.669,13.2501,291.257,826.119,-7008.91,-255.413,1641.7,-1.71582,1.09504,-7.15499
2879,4.81553e-16,98.7089,7203.14,0,0.0328536,170.215,9.72734,290.448,825.61,-7098.25,-189.424,1210.03,-1.26485,1.10925,-7.24616
2939,4.75932e-16,98.7089,7203.14,0,0.0335381,173.761,6.2028,289.651,825.251,-7160.41,-122.711,773.724,-0.809023,1.11921,-7.30957
2999,8.91911e-16,98.7089,7203.14,0,0.0342225,177.308,2.67715,288.86,825.05,-7195.16,-55.5298,334.455,-0.350102,1.1249,-7.345
3059,1.2842e-16,98.7089,7203.14,0,0.034907,180.854,-0.848967,288.073,825.008,-7202.35,11.8637,-106.094,0.110159,1.1263,-7.3523
3119,8.65646e-16,98.7089,7203.14,0,0.0355914,184.4,-4.37494,287.285,825.127,-7181.96,79.2119,-546.238,0.569998,1.12339,-7.33145
3179,4.5961e-16,98.7089,7203.14,0,0.0362759,187.946,-7.90013,286.492,825.405,-7134.07,146.258,-984.29,1.02765,1.11619,-7.28252
3239,4.92297e-16,98.7089,7203.14,0,0.0369603,191.492,-11.4239,285.689,825.836,-7058.87,212.745,-1418.57,1.48138,1.10473,-7.2057
3299,4.5961e-16,98.7089,7203.14,0,0.0376448,195.038,-14.9456,284.873,826.416,-6956.63,278.419,-1847.42,1.92942,1.08905,-7.10129
3359,5.09204e-16,98.7089,7203.14,0,0.0383292,198.585,-18.4646,284.038,827.134,-6827.76,343.03,-2269.2,2.37009,1.06921,-6.96969
3419,4.75257e-16,98.7089,7203.14,0,0.0390137,202.131,-21.9802,283.179,827.98,-6672.74,406.331,-2682.28,2.80167,1.04528,-6.81139
3479,3.39469e-16,98.7089,7203.14,0,0.0396981,205.677,-25.4917,282.289,828.94,-6492.17,468.08,-3085.1,3.22253,1.01736,-6.62701
3539,9.59147e-16,98.7089,7203.14,0,0.0403826,209.223,-28.9982,281.361,830,-6286.74,528.041,-3476.1,3.63105,0.985561,-6.41726
3599,1.45247e-16,98.7089,7203.14,0,0.041067,212.769,-32.499,280.386,831.143,-6057.24,585.985,-3853.79,4.02566,0.949992,-6.18293
3659,1.28403e-16,98.7089,7203.14,0,0.0417515,216.315,-35.9929,279.352,832.352,-5804.54,641.691,-4216.72,4.40486,0.910795,-5.92492
3719,8.8262e-16,98.7089,7203.14,0,0.0424359,219.861,-39.4789,278.247,833.609,-5529.62,694.946,-4563.5,4.76719,0.868119,-5.64423
3779,2.90495e-16,98.7089,7203.14,0,0.0431204,223.408,-42.9556,277.052,834.893,-5233.52,745.547,-4892.81,5.11127,0.822127,-5.34192
3839,1.05029e-15,98.7089,7203.14,0,0.0438048,226.954,-46.421,275.744,836.185,-4917.39,793.299,-5203.38,5.43577,0.772994,-5.01915
3899,7.5779e-16,98.7089,7203.14,0,0.0444893,230.5,-49.8729,274.294,837.466,-4582.42,838.022,-5494.03,5.73946,0.720909,-4.67717
3959,9.19221e-16,98.7089,7203.14,0,0.0451737,234.046,-53.3081,272.661,838.716,-4229.91,879.544,-5763.64,6.02118,0.666071,-4.31727
