Time[s],Ecc[deg],Inc[deg],SMA[km],AOP[deg],RAAN[deg],MA[deg],Lat[deg],Lon[deg],Alt[km],x[km],y[km],z[km],vx[km/s],vy[km/s],vz[km/s]
21599,5.40202e-16,98.7089,7203.14,0,0.246402,196.615,-16.5105,208.365,826.719,-6903.67,282.175,-2035.9,2.1224,1.08847,-7.04611
21659,4.25662e-16,98.7089,7203.14,0,0.247087,200.161,-20.028,207.52,827.495,-6763.34,346.744,-2454.01,2.55931,1.06839,-6.90257
21719,6.00801e-16,98.7089,7203.14,0,0.247771,203.707,-23.5419,206.648,828.393,-6597.12,409.99,-2862.73,2.98642,1.04423,-6.7326
21779,4.07363e-16,98.7089,7203.14,0,0.248456,207.253,-27.0513,205.743,829.4,-6405.63,471.67,-3260.48,3.40209,1.01608,-6.53685
21839,3.62942e-16,98.7089,7203.14,0,0.24914,210.8,-30.5553,204.795,830.499,-6189.61,531.548,-3645.74,3.80473,0.984054,-6.31607
21899,5.43151e-16,98.7089,7203.14,0,0.249824,214.346,-34.0532,203.795,831.674,-5949.89,589.397,-4017.04,4.19281,0.948266,-6.07109
21959,9.19221e-16,98.7089,7203.14,0,0.250509,217.892,-37.5438,202.732,832.906,-5687.39,644.994,-4372.97,4.56483,0.908856,-5.80287
22019,3.39469e-16,98.7089,7203.14,0,0.251193,221.438,-41.0258,201.589,834.177,-5403.11,698.128,-4712.14,4.91937,0.865974,-5.51243
22079,4.2712e-16,98.7089,7203.14,0,0.251878,224.984,-44.4977,200.347,835.468,-5098.14,748.596,-5033.27,5.25508,0.819785,-5.20088
22139,7.46832e-16,98.7089,7203.14,0,0.252562,228.53,-47.9575,198.981,836.757,-4773.65,796.204,-5335.13,5.57066,0.770464,-4.86941
22199,6.78938e-17,98.7089,7203.14,0,0.253247,232.076,-51.4024,197.455,838.027,-4430.88,840.772,-5616.55,5.86491,0.7182,-4.5193
22259,1.22209e-15,98.7089,7203.14,0,0.253931,235.623,-54.8288,195.723,839.256,-4071.14,882.128,-5876.47,6.1367,0.663192,-4.15188
22319,7.5779e-16,98.7089,7203.14,0,0.254616,239.169,-58.2316,193.718,840.428,-3695.82,920.115,-6113.88,6.385,0.605651,-3.76856
22379,9.84594e-16,98.7089,7203.14,0,0.2553,242.715,-61.6032,191.343,841.523,-3306.34,954.588,-6327.88,6.60884,0.545796,-3.37081
22439,9.63018e-16,98.7089,7203.14,0,0.255984,246.261,-64.9318,188.454,842.525,-2904.2,985.414,-6517.65,6.80738,0.483856,-2.96015
22499,9.63107e-16,98.7089,7203.14,0,0.256669,249.807,-68.1989,184.826,843.419,-2490.94,1012.48,-6682.46,6.97985,0.420068,-2.53815
22559,9.19221e-16,98.7089,7203.14,0,0.257353,253.353,-71.3733,180.095,844.191,-2068.14,1035.67,-6821.69,7.1256,0.354675,-2.10644
22619,9.25517e-16,98.7089,7203.14,0,0.258038,256.9,-74.3994,173.653,844.83,-1637.43,1054.91,-6934.78,7.24406,0.287927,-1.66666
22679,3.39469e-17,98.7089,7203.14,0,0.258722,260.446,-77.1732,164.479,845.326,-1200.44,1070.12,-7021.32,7.33478,0.220079,-1.22049
22739,8.65646e-16,98.7089,7203.14,0,0.259407,263.992,-79.4939,151.006,845.671,-758.859,1081.25,-7080.98,7.39742,0.15139,-0.769655
22799,8.91911e-16,98.7089,7203.14,0,0.260091,267.538,-81.005,131.805,845.861,-314.371,1088.24,-7113.52,7.43172,0.0821219,-0.31587
22859,8.91107e-16,98.7089,7203.14,0,0.260776,271.084,-81.2755,108.579,845.892,131.322,1091.08,-7118.82,7.43758,0.0125402,0.139124
22919,8.8262e-16,98.7089,7203.14,0,0.26146,274.63,-80.2022,87.3106,845.764,576.511,1089.74,-7096.85,7.41495,-0.0570896,0.593585
22979,9.51863e-16,98.7089,7203.14,0,0.262145,278.176,-78.1445,71.7034,845.479,1019.49,1084.25,-7047.71,7.36393,-0.126502,1.04577
23039,9.92799e-16,98.7089,7203.14,0,0.262829,281.723,-75.5154,61.0709,845.04,1458.57,1074.62,-6971.59,7.28471,-0.195431,1.49396
23099,8.14726e-16,98.7089,7203.14,0,0.263513,285.269,-72.571,53.7182,844.456,1892.06,1060.88,-6868.76,7.17759,-0.263614,1.93642
23159,8.58332e-16,98.7089,7203.14,0,0.264198,288.815,-69.4457,48.4128,843.734,2318.31,1043.08,-6739.63,7.04299,-0.330791,2.37147
23219,3.004e-16,98.7089,7203.14,0,0.264882,292.361,-66.2099,44.4096,842.886,2735.68,1021.31,-6584.69,6.88143,-0.396704,2.79743
23279,1.28403e-16,98.7089,7203.14,0,0.265567,295.907,-62.9025,41.2661,841.924,3142.58,995.63,-6404.54,6.69351,-0.461102,3.21269
23339,7.46832e-16,98.7089,7203.14,0,0.266251,299.453,-59.5459,38.7123,840.863,3537.44,966.149,-6199.86,6.47996,-0.52374,3.61564
23399,1.05029e-15,98.7089,7203.14,0,0.266936,302.999,-56.1542,36.5772,839.719,3918.75,932.978,-5971.44,6.2416,-0.584377,4.00474
23459,1.28403e-16,98.7089,7203.14,0,0.26762,306.546,-52.7362,34.7482,838.51,4285.06,896.243,-5720.16,5.97934,-0.642782,4.37851
23519,1.35788e-16,98.7089,7203.14,0,0.268305,310.092,-49.298,33.1488,837.254,4634.97,856.085,-5446.97,5.69418,-0.698733,4.73551
23579,1.45247e-16,98.7089,7203.14,0,0.268989,313.638,-45.8436,31.7251,835.97,4967.12,812.656,-5152.92,5.38722,-0.752015,5.07438
23639,9.01201e-16,98.7089,7203.14,0,0.269673,317.184,-42.3762,30.4383,834.677,5280.25,766.123,-4839.13,5.05963,-0.802424,5.39382
23699,2.56805e-16,98.7089,7203.14,0,0.270358,320.73,-38.8979,29.2596,833.397,5573.17,716.664,-4506.82,4.71267,-0.849769,5.6926
23759,1.45247e-16,98.7089,7203.14,0,0.271042,324.276,-35.4105,28.1673,832.147,5844.74,664.467,-4157.25,4.34766,-0.893868,5.96958
23819,2.90495e-16,98.7089,7203.14,0,0.271727,327.823,-31.9153,27.1445,830.947,6093.94,609.731,-3791.75,3.966,-0.934554,6.2237
23879,1.35788e-16,98.7089,7203.14,0,0.272411,331.369,-28.4135,26.1778,829.817,6319.79,552.667,-3411.74,3.56916,-0.971669,6.45399
23939,6.78938e-17,98.7089,7203.14,0,0.273096,334.915,-24.9061,25.2568,828.772,6521.45,493.491,-3018.66,3.15865,-1.00507,6.65956
23999,1.35788e-16,98.7089,7203.14,0,0.27378,338.461,-21.3939,24.3725,827.83,6698.14,432.43,-2614.03,2.73604,-1.03464,6.83964
24059,1.28403e-16,98.7089,7203.14,0,0.274465,342.007,-17.8777,23.5178,827.005,6849.18,369.717,-2199.38,2.30296,-1.06025,6.99352
24119,1.28403e-16,98.7089,7203.14,0,0.275149,345.553,-14.3582,22.6863,826.309,6973.99,305.591,-1776.31,1.86106,-1.08182,7.12062
24179,3.39469e-17,98.7089,7203.14,0,0.275834,349.099,-10.836,21.8727,825.754,7072.1,240.298,-1346.44,1.41203,-1.09925,7.22045
24239,2.56805e-16,98.7089,7203.14,0,0.276518,352.646,-7.31199,21.072,825.347,7143.13,174.087,-911.413,0.957601,-1.11248,7.29263
24299,2.57366e-16,98.7089,7203.14,0,0.277202,356.192,-3.78663,20.2799,825.096,7186.8,107.21,-472.895,0.4995,-1.12147,7.33688
24359,1.28413e-16,98.7089,7203.14,0,0.277887,359.738,-0.260587,19.4921,825.004,7202.96,39.9235,-32.5663,0.0394868,-1.12617,7.35304
24419,0,98.7089,7203.14,0,0.278571,3.28409,3.2655,18.7046,825.073,7191.53,-27.5158,407.887,-0.420678,-1.12657,7.34104
24479,0,98.7089,7203.14,0,0.279256,6.83024,6.791,17.9134,825.3,7152.57,-94.8504,846.778,-0.879231,-1.12266,7.30093
24539,1.28403e-16,98.7089,7203.14,0,0.27994,10.3764,10.3153,17.1143,825.684,7086.21,-161.823,1282.43,-1.33442,-1.11447,7.23286
24599,0,98.7089,7203.14,0,0.280625,13.9225,13.8377,16.3029,826.218,6992.73,-228.178,1713.16,-1.78449,-1.10202,7.1371
24659,6.78938e-17,98.7089,7203.14,0,0.281309,17.4687,17.3577,15.4744,826.894,6872.46,-293.661,2137.34,-2.22774,-1.08536,7.014
24719,2.65629e-16,98.7089,7203.14,0,0.281994,21.0149,20.8744,14.6234,827.701,6725.88,-358.024,2553.34,-2.66245,-1.06456,6.86404
24779,1.28403e-16,98.7089,7203.14,0,0.282678,24.561,24.3873,13.744,828.626,6553.55,-421.019,2959.55,-3.08697,-1.03969,6.6878
24839,0,98.7089,7203.14,0,0.283362,28.1072,27.8954,12.8289,829.657,6356.12,-482.406,3354.43,-3.49967,-1.01084,6.48595
24899,2.65629e-16,98.7089,7203.14,0,0.284047,31.6533,31.3981,11.8696,830.776,6134.36,-541.951,3736.47,-3.89896,-0.97814,6.25926
24959,2.03682e-16,98.7089,7203.14,0,0.284731,35.1995,34.8943,10.8558,831.966,5889.1,-599.426,4104.2,-4.28333,-0.9417,6.0086
25019,1.45247e-16,98.7089,7203.14,0,0.285416,38.7456,38.383,9.77473,833.209,5621.29,-654.612,4456.21,-4.6513,-0.901664,5.73494
25079,0,98.7089,7203.14,0,0.2861,42.2918,41.8627,8.61004,834.487,5331.96,-707.297,4791.15,-5.00145,-0.858182,5.43931
25139,1.86884e-16,98.7089,7203.14,0,0.286785,45.8379,45.3319,7.34083,835.779,5022.21,-757.281,5107.75,-5.33245,-0.811423,5.12285
25199,6.78938e-17,98.7089,7203.14,0,0.287469,49.3841,48.7883,5.93954,837.065,4693.23,-804.373,5404.79,-5.64304,-0.761564,4.78677
25259,1.86884e-16,98.7089,7203.14,0,0.288154,52.9302,52.2292,4.36905,838.327,4346.28,-848.393,5681.13,-5.93201,-0.708796,4.43237
25319,1.28403e-16,98.7089,7203.14,0,0.288838,56.4764,55.6505,2.57818,839.544,3982.69,-889.173,5935.72,-6.19827,-0.65332,4.06099
25379,2.65629e-16,98.7089,7203.14,0,0.289523,60.0225,59.0466,0.494335,840.699,3603.84,-926.556,6167.58,-6.4408,-0.595348,3.67406
25439,3.85208e-16,98.7089,7203.14,0,0.290207,63.5687,62.409,358.011,841.773,3211.2,-960.4,6375.82,-6.65866,-0.535103,3.27305
25499,0,98.7089,7203.14,0,0.290891,67.1148,65.7249,354.969,842.75,2806.26,-990.577,6559.64,-6.85103,-0.472813,2.85952
25559,3.39469e-17,98.7089,7203.14,0,0.291576,70.661,68.9732,351.116,843.616,2390.58,-1016.97,6718.34,-7.01716,-0.408716,2.43504
25619,3.39469e-17,98.7089,7203.14,0,0.29226,74.2071,72.1183,346.04,844.358,1965.74,-1039.48,6851.32,-7.15643,-0.343058,2.00123
25679,1.32814e-16,98.7089,7203.14,0,0.292945,77.7533,75.0958,339.054,844.963,1533.37,-1058.02,6958.06,-7.26829,-0.27609,1.55975
25739,0,98.7089,7203.14,0,0.293629,81.2994,77.7839,329.007,845.423,1095.13,-1072.51,7038.16,-7.35231,-0.208066,1.11231
25799,1.2952e-16,98.7089,7203.14,0,0.294314,84.8456,79.9488,314.237,845.731,652.701,-1082.91,7091.3,-7.40819,-0.139248,0.660604
25859,2.56805e-16,98.7089,7203.14,0,0.294998,88.3917,81.1965,293.707,845.883,207.771,-1089.18,7117.29,-7.4357,-0.0698967,0.20637
25919,2.20655e-16,98.7089,7203.14,0,0.295683,91.9379,81.1316,270.356,845.876,-237.955,-1091.28,7116.02,-7.43473,-0.000278501,-0.248655
25979,1.28403e-16,98.7089,7203.14,0,0.296367,95.4841,79.779,250.325,845.709,-682.77,-1089.22,7087.5,-7.4053,0.0693411,-0.702728
26039,8.75118e-16,98.7089,7203.14,0,0.297051,99.0302,77.5513,236.066,845.387,-1124.97,-1082.99,7031.84,-7.34751,0.138696,-1.15411
26099,8.91911e-16,98.7089,7203.14,0,0.297736,102.576,74.8287,226.367,844.913,-1562.86,-1072.63,6949.26,-7.26158,0.207522,-1.60107
26159,2.12831e-16,98.7089,7203.14,0,0.29842,106.123,71.8317,219.599,844.294,-1994.77,-1058.17,6840.06,-7.14785,0.275555,-2.0419
26219,3.85208e-16,98.7089,7203.14,0,0.299105,109.669,68.6749,214.661,843.541,-2419.04,-1039.67,6704.67,-7.00675,0.342537,-2.47492
26279,2.56805e-16,98.7089,7203.14,0,0.299789,113.215,65.4191,210.897,842.664,-2834.05,-1017.2,6543.6,-6.83882,0.40821,-2.89845
26339,1.86884e-16,98.7089,7203.14,0,0.300474,116.761,62.0982,207.915,841.677,-3238.2,-990.839,6357.48,-6.6447,0.472324,-3.31088
26399,6.78938e-17,98.7089,7203.14,0,0.301158,120.307,58.7321,205.475,840.595,-3629.96,-960.697,6147.01,-6.42513,0.534635,-3.71064
26459,2.56805e-16,98.7089,7203.14,0,0.301843,123.853,55.3334,203.422,839.434,-4007.81,-926.885,5913,-6.18097,0.594904,-4.09619
26519,1.86884e-16,98.7089,7203.14,0,0.302527,127.399,51.9101,201.655,838.211,-4370.32,-889.532,5656.35,-5.91314,0.6529,-4.46605
26579,1.09386e-15,98.7089,7203.14,0,0.303212,130.946,48.4676,200.102,836.947,-4716.09,-848.781,5378.03,-5.62266,0.708404,-4.81881
26639,4.92297e-16,98.7089,7203.14,0,0.303896,134.492,45.0099,198.714,835.659,-5043.81,-804.788,5079.13,-5.31065,0.761201,-5.15311
26699,6.78938e-17,98.7089,7203.14,0,0.30458,138.038,41.5397,197.456,834.367,-5352.21,-757.721,4760.77,-4.97831,0.811092,-5.46768
26759,2.56805e-16,98.7089,7203.14,0,0.305265,141.584,38.059,196.3,833.092,-5640.12,-707.76,4424.18,-4.62691,0.857884,-5.76132
26819,0,98.7089,7203.14,0,0.305949,145.13,34.5696,195.225,831.853,-5906.43,-655.094,4070.65,-4.25779,0.9014,-6.03289
26879,6.78938e-17,98.7089,7203.14,0,0.306634,148.676,31.0728,194.217,830.668,-6150.12,-599.927,3701.53,-3.87236,0.941474,-6.28136
26939,6.78938e-17,98.7089,7203.14,0,0.307318,152.222,27.5695,193.262,829.557,-6370.26,-542.467,3318.24,-3.47211,0.977951,-6.50578
26999,4.75257e-16,98.7089,7203.14,0,0.308003,155.769,24.0609,192.351,828.536,-6566.01,-482.935,2922.24,-3.05856,1.01069,-6.70528
27059,9.50514e-16,98.7089,7203.14,0,0.308687,159.315,20.5476,191.474,827.62,-6736.62,-421.558,2515.05,-2.6333,1.03957,-6.8791
27119,8.24782e-16,98.7089,7203.14,0,0.309372,162.861,17.0306,190.626,826.825,-6881.43,-358.57,2098.23,-2.19796,1.06449,-7.02658
27179,2.59039e-16,98.7089,7203.14,0,0.310056,166.407,13.5104,189.799,826.162,-6999.89,-294.213,1673.37,-1.7542,1.08533,-7.14716
27239,1.32814e-16,98.7089,7203.14,0,0.31074,169.953,9.98774,188.989,825.642,-7091.55,-228.731,1242.11,-1.30372,1.10203,-7.24036
27299,1.69735e-17,98.7089,7203.14,0,0.311425,173.499,6.46331,188.191,825.273,-7156.05,-162.376,806.09,-0.848252,1.11452,-7.30584
27359,1.69735e-17,98.7089,7203.14,0,0.312109,177.046,2.93773,187.4,825.059,-7193.15,-95.3994,366.982,-0.389535,1.12275,-7.34335
27419,2.56841e-16,98.7089,7203.14,0,0.312794,180.592,-0.588381,186.613,825.006,-7202.71,-28.0584,-73.5307,0.0706731,1.1267,-7.35273
27479,5.73103e-16,98.7089,7203.14,0,0.313478,184.138,-4.11438,185.825,825.113,-7184.69,39.3902,-513.762,0.530611,1.12634,-7.33395
27539,6.45136e-16,98.7089,7203.14,0,0.314163,187.684,-7.63965,185.032,825.379,-7139.15,106.689,-952.026,0.988517,1.12168,-7.28709
27599,5.40202e-16,98.7089,7203.14,0,0.314847,191.23,-11.1636,184.23,825.799,-7066.28,173.58,-1386.64,1.44264,1.11273,-7.21233
27659,4.75257e-16,98.7089,7203.14,0,0.315532,194.776,-14.6855,183.415,826.368,-6966.35,239.809,-1815.95,1.89123,1.09954,-7.10994
27719,5.40202e-16,98.7089,7203.14,0,0.316216,198.322,-18.2047,182.582,827.076,-6839.74,305.122,-2238.31,2.33259,1.08214,-6.98033
27779,8.54241e-16,98.7089,7203.14,0,0.316901,201.869,-21.7206,181.725,827.913,-6686.95,369.27,-2652.09,2.76501,1.06061,-6.82399
27839,4.07363e-16,98.7089,7203.14,0,0.317585,205.415,-25.2323,180.837,828.865,-6508.55,432.008,-3055.72,3.18685,1.03503,-6.64152
27899,3.39469e-16,98.7089,7203.14,0,0.318269,208.961,-28.7393,179.912,829.919,-6305.22,493.096,-3447.64,3.59648,1.0055,-6.43361
27959,8.8262e-16,98.7089,7203.14,0,0.318954,212.507,-32.2405,178.941,831.056,-6077.76,552.301,-3826.36,3.99234,0.972124,-6.20107
28019,6.11045e-16,98.7089,7203.14,0,0.319638,216.053,-35.735,177.912,832.261,-5827.02,609.397,-4190.43,4.37291,0.935036,-5.94478
28079,6.78938e-17,98.7089,7203.14,0,0.320323,219.599,-39.2216,176.813,833.515,-5553.96,664.165,-4538.46,4.73674,0.894376,-5.66573
28139,4.2712e-16,98.7089,7203.14,0,0.321007,223.146,-42.699,175.625,834.797,-5259.64,716.397,-4869.1,5.08243,0.850299,-5.36497
28199,4.25662e-16,98.7089,7203.14,0,0.321692,226.692,-46.1653,174.327,836.09,-4945.18,765.892,-5181.1,5.40866,0.802975,-5.04368
28259,8.14726e-16,98.7089,7203.14,0,0.322376,230.238,-49.6183,172.889,837.372,-4611.79,812.463,-5473.26,5.71417,0.752583,-4.70307
28319,8.54241e-16,98.7089,7203.14,0,0.323061,233.784,-53.0549,171.271,838.625,-4260.73,855.93,-5744.46,5.99781,0.699316,-4.34445
28379,1.09386e-15,98.7089,7203.14,0,0.323745,237.33,-56.4707,169.417,839.829,-3893.36,896.129,-5993.66,6.25848,0.643378,-3.96919
28439,8.91911e-16,98.7089,7203.14,0,0.324429,240.876,-59.8596,167.248,840.965,-3511.08,932.904,-6219.9,6.49519,0.584981,-3.57874
28499,9.50514e-16,98.7089,7203.14,0,0.325114,244.422,-63.2123,164.648,842.018,-3115.36,966.117,-6422.33,6.70702,0.52435,-3.17458
28559,6.78938e-17,98.7089,7203.14,0,0.325798,247.969,-66.5142,161.438,842.97,-2707.71,995.639,-6600.17,6.89317,0.461716,-2.75826
28619,9.51863e-16,98.7089,7203.14,0,0.326483,251.515,-69.7417,157.336,843.807,-2289.69,1021.36,-6752.73,7.05293,0.397318,-2.33138
28679,9.92799e-16,98.7089,7203.14,0,0.327167,255.061,-72.8538,151.878,844.516,-1862.9,1043.18,-6879.43,7.18568,0.331402,-1.89557
28739,2.65629e-16,98.7089,7203.14,0,0.327852,258.607,-75.7759,144.281,845.087,-1428.98,1061.01,-6979.79,7.29092,0.26422,-1.45251
28799,0,98.7089,7203.14,0,0.328536,262.153,-78.3651,133.26,845.512,-989.583,1074.79,-7053.42,7.36823,0.196028,-1.00388
28859,8.99593e-16,98.7089,7203.14,0,0.329221,265.699,-80.3507,117.114,845.782,-546.401,1084.47,-7100.04,7.41733,0.127087,-0.551407
28919,8.88985e-16,98.7089,7203.14,0,0.329905,269.246,-81.3096,95.423,845.896,-101.126,1090,-7119.47,7.43803,0.0576598,-0.096823
28979,9.08711e-16,98.7089,7203.14,0,0.33059,272.792,-80.911,72.3514,845.85,344.536,1091.37,-7111.64,7.43025,-0.0119878,0.358132
29039,0,98.7089,7203.14,0,0.331274,276.338,-79.3056,53.6907,845.646,788.879,1088.57,-7076.57,7.39402,-0.08159,0.811716
29099,0,98.7089,7203.14,0,0.331958,279.884,-76.9303,40.6931,845.286,1230.2,1081.62,-7014.41,7.32947,-0.150881,1.26219
29159,3.39469e-17,98.7089,7203.14,0,0.332643,283.43,-74.1266,31.8309,844.777,1666.81,1070.53,-6925.38,7.23686,-0.219596,1.70783
29219,6.78938e-17,98.7089,7203.14,0,0.333327,286.976,-71.0833,25.5834,844.125,2097.04,1055.35,-6809.84,7.11654,-0.287473,2.14693
29279,2.65629e-16,98.7089,7203.14,0,0.334012,290.522,-67.8985,20.9755,843.341,2519.24,1036.15,-6668.21,6.96896,-0.354252,2.57781
29339,0,98.7089,7203.14,0,0.334696,294.069,-64.6246,17.4286,842.436,2931.79,1012.98,-6501.05,6.7947,-0.419678,2.99882
29399,0,98.7089,7203.14,0,0.335381,297.615,-61.2913,14.5954,841.425,3333.12,985.945,-6309,6.59442,-0.483502,3.40835
29459,1.86884e-16,98.7089,7203.14,0,0.336065,301.161,-57.9165,12.2603,840.322,3721.68,955.144,-6092.79,6.3689,-0.545479,3.80482
29519,8.8262e-16,98.7089,7203.14,0,0.33675,304.707,-54.5112,10.284,839.144,4095.99,920.694,-5853.24,6.11898,-0.605373,4.18672
29579,9.01201e-16,98.7089,7203.14,0,0.337434,308.253,-51.0829,8.57354,837.91,4454.62,882.727,-5591.28,5.84563,-0.662955,4.55259
29639,9.50514e-16,98.7089,7203.14,0,0.338119,311.799,-47.6364,7.06439,836.638,4796.19,841.388,-5307.91,5.5499,-0.718005,4.90103
29699,1.35788e-16,98.7089,7203.14,0,0.338803,315.346,-44.1754,5.71076,835.347,5119.39,796.835,-5004.21,5.23292,-0.770313,5.2307
29759,2.40777e-16,98.7089,7203.14,0,0.339487,318.892,-40.7025,4.47912,834.058,5422.99,749.238,-4681.35,4.8959,-0.819679,5.54034
29819,3.27773e-16,98.7089,7203.14,0,0.340172,322.438,-37.2196,3.34438,832.79,5705.82,698.78,-4340.56,4.54013,-0.865914,5.82876
29879,6.78938e-17,98.7089,7203.14,0,0.340856,325.984,-33.7283,2.28736,831.562,5966.81,645.651,-3983.16,4.16698,-0.908843,6.09486
29939,6.78938e-17,98.7089,7203.14,0,0.341541,329.53,-30.2299,1.29308,830.393,6204.95,590.056,-3610.49,3.77787,-0.948299,6.33762
29999,8.8262e-16,98.7089,7203.14,0,0.342225,333.076,-26.7252,0.349598,829.302,6419.33,532.207,-3224,3.3743,-0.984134,6.55612
30059,9.19221e-16,98.7089,7203.14,0,0.34291,336.622,-23.2154,359.447,828.305,6609.13,472.325,-2825.17,2.9578,-1.01621,6.7495
30119,3.91146e-16,98.7089,7203.14,0,0.343594,340.169,-19.7012,358.578,827.418,6773.62,410.639,-2415.52,2.52998,-1.04441,6.91704
30179,1.28403e-16,98.7089,7203.14,0,0.344279,343.715,-16.1833,357.735,826.653,6912.17,347.383,-1996.61,2.09247,-1.06861,7.05809
30239,1.45247e-16,98.7089,7203.14,0,0.344963,347.261,-12.6625,356.913,826.024,7024.25,282.8,-1570.07,1.64695,-1.08873,7.17212
30299,2.56805e-16,98.7089,7203.14,0,0.345647,350.807,-9.13933,356.106,825.539,7109.44,217.137,-1137.51,1.19512,-1.1047,7.25867
30359,9.08711e-16,98.7089,7203.14,0,0.346332,354.353,-5.61456,355.31,825.207,7167.41,150.643,-700.588,0.738718,-1.11645,7.31744
30419,8.87712e-16,98.7089,7203.14,0,0.347016,357.899,-2.0888,354.521,825.032,7197.93,83.5744,-260.988,0.279486,-1.12393,7.34818
30479,4.24336e-18,98.7089,7203.14,0,0.347701,1.4455,1.43734,353.734,825.017,7200.88,16.1857,179.611,-0.180817,-1.12712,7.35078
30539,2.56805e-16,98.7089,7203.14,0,0.348385,4.99165,4.96323,352.945,825.163,7176.27,-51.2652,619.523,-0.640427,-1.126,7.32523
30599,1.2952e-16,98.7089,7203.14,0,0.34907,8.5378,8.48823,352.15,825.466,7124.17,-118.521,1057.06,-1.09758,-1.12058,7.27163
30659,1.32814e-16,98.7089,7203.14,0,0.349754,12.084,12.0117,351.346,825.923,7044.79,-185.324,1490.55,-1.55054,-1.11088,7.19019
30719,1.86884e-16,98.7089,7203.14,0,0.350439,15.6301,15.533,350.527,826.526,6938.44,-251.42,1918.34,-1.99756,-1.09694,7.08121
30779,2.59039e-16,98.7089,7203.14,0,0.351123,19.1763,19.0515,349.688,827.267,6805.52,-316.556,2338.77,-2.43693,-1.07881,6.94511
30839,6.78938e-17,98.7089,7203.14,0,0.351808,22.7224,22.5665,348.824,828.132,6646.54,-380.483,2750.25,-2.86696,-1.05656,6.78242
30899,1.45247e-16,98.7089,7203.14,0,0.352492,26.2686,26.0772,347.929,829.11,6462.11,-442.957,3151.2,-3.28602,-1.03027,6.59376
30959,2.65629e-16,98.7089,7203.14,0,0.353176,29.8147,29.5828,346.993,830.185,6252.94,-503.74,3540.09,-3.6925,-1.00005,6.37984
31019,6.78938e-17,98.7089,7203.14,0,0.353861,33.3609,33.0825,346.009,831.341,6019.82,-562.598,3915.41,-4.08483,-0.966006,6.1415
31079,6.78938e-17,98.7089,7203.14,0,0.354545,36.907,36.5752,344.965,832.559,5763.65,-619.309,4275.74,-4.46153,-0.928273,5.87964
31139,2.65629e-16,98.7089,7203.14,0,0.35523,40.4532,40.0598,343.846,833.822,5485.41,-673.654,4619.7,-4.82114,-0.886994,5.59526
31199,4.71316e-16,98.7089,7203.14,0,0.355914,43.9993,43.5346,342.634,835.108,5186.17,-725.426,4945.97,-5.16229,-0.842326,5.28945
31259,6.78938e-17,98.7089,7203.14,0,0.356599,47.5455,46.998,341.305,836.4,4867.07,-774.428,5253.3,-5.48367,-0.794441,4.96339
31319,0,98.7089,7203.14,0,0.357283,51.0916,50.4474,339.828,837.677,4529.33,-820.472,5540.51,-5.78406,-0.743521,4.61832
31379,3.62942e-16,98.7089,7203.14,0,0.357968,54.6378,53.8794,338.158,838.92,4174.25,-863.382,5806.5,-6.06229,-0.68976,4.25557
31439,1.35788e-16,98.7089,7203.14,0,0.358652,58.1839,57.2894,336.237,840.109,3803.18,-902.995,6050.26,-6.31732,-0.633365,3.87652
31499,1.86884e-16,98.7089,7203.14,0,0.359336,61.7301,60.6705,333.977,841.227,3417.55,-939.159,6270.85,-6.54815,-0.57455,3.48263
31559,3.004e-16,98.7089,7203.14,0,0.360021,65.2762,64.0126,331.25,842.257,3018.83,-971.736,6467.43,-6.75391,-0.51354,3.0754
31619,1.35788e-16,98.7089,7203.14,0,0.360705,68.8224,67.2992,327.856,843.182,2608.56,-1000.6,6639.24,-6.9338,-0.450568,2.65639
31679,3.39469e-17,98.7089,7203.14,0,0.36139,72.3685,70.5036,323.479,843.99,2188.29,-1025.65,6785.62,-7.08715,-0.385875,2.22721
31739,1.28403e-16,98.7089,7203.14,0,0.362074,75.9147,73.5786,317.593,844.667,1759.65,-1046.77,6906.02,-7.21336,-0.319707,1.7895
31799,2.59039e-16,98.7089,7203.14,0,0.362759,79.4609,76.4373,309.312,845.203,1324.27,-1063.9,6999.98,-7.31194,-0.252318,1.34494
31859,1.69735e-17,98.7089,7203.14,0,0.363443,83.007,78.9122,297.213,845.591,883.817,-1076.96,7067.12,-7.38253,-0.183965,0.895227
31919,1.69735e-17,98.7089,7203.14,0,0.364128,86.5532,80.6931,279.645,845.824,439.981,-1085.91,7107.21,-7.42485,-0.114908,0.442088
31979,1.28403e-16,98.7089,7203.14,0,0.364812,90.0993,81.3412,257.047,845.899,-5.54049,-1090.72,7120.08,-7.43874,-0.045412,-0.0127451
32039,1.69735e-17,98.7089,7203.14,0,0.365497,93.6455,80.6191,234.632,845.815,-451.04,-1091.35,7105.68,-7.42414,0.0242578,-0.467529
32099,1.69735e-16,98.7089,7203.14,0,0.366181,97.1916,78.7882,217.396,845.573,-894.813,-1087.82,7064.08,-7.38112,0.0938355,-0.920523
32159,2.03682e-16,98.7089,7203.14,0,0.366865,100.738,76.2852,205.558,845.177,-1335.16,-1080.14,6995.42,-7.30983,0.163055,-1.36999
32219,3.86701e-16,98.7089,7203.14,0,0.36755,104.284,73.411,197.443,844.632,-1770.39,-1068.32,6899.97,-7.21055,0.231652,-1.81421
32279,6.78938e-17,98.7089,7203.14,0,0.368234,107.83,70.327,191.661,843.948,-2198.85,-1052.43,6778.1,-7.08366,0.299365,-2.25149
