gsIndex,startDate,endDate
0,2455863.0751851163805,2455863.0857406146824
0,2455863.1449995525181,2455863.1553004225716
0,2455863.2155084293336,2455863.2249643965624
0,2455863.2860057321377,2455863.2948251287453
0,2455863.3565030349419,2455863.3649057671428
0,2455863.427000337746,2455863.4352178857662
0,2455863.4974976405501,2455863.5058425026946
0,2455863.5692912326194,2455863.5769300800748
0,2455863.6408880664967,2455863.648561635986
0,2455863.7119177738205,2455863.7202394879423
0,2455863.782507668715,2455863.7907367907465
0,2455863.8527966393158,2455863.8612340935506
0,2455863.9228541296907,2455863.9317313963547
0,2455863.9927032878622,2455864.0022286991589
0,2455864.0623441138305,2455864.0631890166551
