Time [s],,POI,[deg],[deg],[km],AccessTime [s],,,RevisitTime [s],,,ResponseTime [s],,,TimeToCoverage [s],Number of Passes
t0,t1,POI,lat,lon,alt,ATavg,ATmin,ATmax,RvTavg,RvTmin,RvTmax,RpTavg,RpTmin,RpTmax,TCcov,numPass
